year,volume,title,description,pdf_url,issn
2021,42,Influence of plants used in agricultural diversification on the nematode Heterorhabditis amazonensis,"In an agricultural system, to increase natural biological control, plants that attract natural enemies can be grown alongside the main crop. However, the effects of these plants on entomopathogenic nematodes (EPNs), important agents for controlling soil pests, and the action of their conservation are unknown. To assess the impact of these plants on EPNs, two experiments were carried out in a greenhouse. The first measured the effect of Crotalaria spectabilis, Crotalaria breviflora, and Tagetes erecta on the persistence and infectivity of Heterorhabditis amazonensis isolate RSC 5 for 27 days, compared to a control treatment without plants. The second trial evaluated the effect of C. breviflora and T. erecta on the displacement of the nematode. Additionally, the influence of predator Calosoma granulatum in this system was evaluated. The plants did not influence nematode behaviour in terms of persistence, infectivity, or displacement. However, C. spectabilis allowed the most significant persistence of nematodes in the substrate for a short time, and T. erecta caused the fastest suppression of the initial population of infectives juvenile. In the second experiment, neither the predator nor the plants affected the nematode's ability to move in the soil within 5 days. These results show that prior knowledge in agricultural diversification can help to control pests by inundative application of EPNs.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/42051/30351,E-ISSN 1679-0359
2021,42,Weed phytosociology in diversified soybean production systems,"The knowledge of the impacts of the management practices used in each agricultural production system on the ecological interactions between commercial crops and weed populations can assist in the development of specific and sustainable integrated management strategies. This study aimed to assess weed communities in soybean in succession to second-crop corn and production systems with crop diversification in Northern Paraná State. The study was conducted during three agricultural years (2014/2017). Six treatments were setup: 1 –corn/soybean, corn/soybean, and corn/soybean), 2 – white oat/soybean, rye/corn, and wheat/soybean, 3 –oat + rye/soybean, oat + radish/corn, and congo grass/soybean, 4 – canola/corn, crambe/corn, and safflower/soybean, 5 –buckwheat/ radish/corn, bean/soybean, and buckwheat/oat/soybean, and 6 –wheat/corn + congo grass, canola/corn, and bean/soybean. The relative importance value index of each weed species and the soil cover (soil, straw, and weeds) were assessed. The experimental design consisted of randomized blocks with four replications of 300 m2 (20 × 15 m). The production systems white oat/soybean, rye/corn, and wheat/soybean; buckwheat/radish/corn, bean/soybean, buckwheat/oat/soybean; and wheat/corn+congo grass, canola/corn, bean/soybean had a suppressive effect on the species Commelina benghalensis. Euphorbia heterophylla and Digitaria horizontalis were the species most adapted to the assessed production systems. Seeds remaining from crambe and radish cultivations became volunteer plants in subsequent cultivations.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/42182/30404,E-ISSN 1679-0359
2021,42,"Wheat yield and seed physiological quality as influenced by seed vigor, nitrogen fertilization and edaphoclimatic conditions","Wheat is one of the most important cereals grown in the world, and in Brazil, increasing national production is still a challenge. Nitrogen (N) supply can favor grain yield and the physiological quality of wheat seeds. However, the definition of adequate N rate and fertilization timing must consider genotype, cultivation environment, and initial seed vigor level. The aim of this work was to evaluate the effect of initial seed vigor and the combinations of rates and timings of N application on grain yield and seed physiological quality of wheat cultivars under different edaphoclimatic conditions. The experiment was carried out in Londrina and Ponta Grossa, state of Paraná, in a randomized block design in a 2 × 2 × 7 factorial scheme, with four replicates. Treatments consisted of two seed vigor levels (vigorous and non-vigorous seeds), two wheat cultivars (BRS Gralha-Azul and BRS Sabiá) and seven combinations of fertilization timings and N rates (kg ha-1) (control - 0N; 20 N at sowing and 60 N at tillering; 40 N at sowing; 80 N at sowing; 40 N at sowing and 40 N at tillering; 40N at tillering; 80 N at tillering). Number of emerged seedlings, vegetation index, shoot dry matter, number of fertile spikes m-2 and grain yield were evaluated. Additionally, the physiological potential of seeds produced in Londrina was evaluated by the testes of first count, germination, seedling emergence in sand and emergence speed index. The climatic conditions during the experiment, in both cultivation environments, were similar to average historical records, with some periods of water deficit. The highest grain yield was obtained with the BRS Gralha-Azul in Londrina, and with BRS Sabiá in Ponta Grossa. The use of vigorous seeds favored the stand establishment and the response of plants to N fertilization. The treatments 40N + 40N, and 40N + 0N favored the majority of evaluated variables. Both cultivars showed potential for the production of high physiological potential seeds in Londrina environment. Inadequate N supply impairs wheat grain yield and seed production.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/42741/30353,E-ISSN 1679-0359
2021,42,"Geostatistical modeling of “lethal coconut palm crown atrophy”, a new disease in the State of Pará","'Lethal Coconut Palm Crown Atrophy' (LCCA) is a rapidly spreading disease in Brazil, capable of quickly killing coconut trees and threatening the commercial exploration of this plant. The objective of this work was to characterize the spatial and temporal distribution pattern of LCCA in green dwarf coconut commercial plantation areas, located the municipality of Santa Izabel, mesoregion of Northeastern Pará, Brazil. Surveys were carried out at monthly intervals between January 2014 and December 2018, checking for plants with LCCA-characteristic symptoms. Geostatistics was applied to perform spatial-temporal disease estimates based on semivariogram modeling and preparation of ordinary kriging maps. These spatial estimates are conducted through interpolations that characterize data variability in the area. The spherical model yielded the best fit to the spatial distribution of the disease, as it presented the best coefficient of determination (R²), with the range varying between 14m and 45m. The Spatial Dependence Index (SDI) was moderate in the evaluations carried out between 2014 and 2017 (in the 0.26-0.64 range), but not in 2018, when it was strong (0.23). The values of the clustering intensity of LCCA-symptomatic plants were estimated in non-sampled points. The spherical fit model of the data indicates an aggregated distribution pattern, shown by aggregation patches in the plantation, graded by values of dissemination intensity. The kriging maps allowed the observation that the disease expands between plants in the same line, suggesting the possibility of the presence of a short-range vector.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/42892/30354,E-ISSN 1679-0359
2021,42,Development of mycorrhizal soybean grown in copper-contaminated soil,"High concentrations of copper in the soil are toxic to the development of plants and microorganisms. The aim of this study was to select arbuscular mycorrhizal fungi efficient for the development and yield of soybeangrown in copper-contaminated soil. The experiment was laid out in a completely randomized design with a 7 × 4 factorial arrangement corresponding to seven rates of copper (0, 80, 160, 240, 320, 400, and 480 mg kg-1 of soil) and four inocula (uninoculated control and three mycorrhizal fungi, namely, Acaulospora colombiana, Dentiscutata heterogama and Rhizophagus clarus), in seven replicates. Shoot height; collar diameter; number of grains per plant; shoot and root-system dry mass; leaf area; specific root surface; copper content and accumulation in the shoots, roots, and grain; chlorophyll parameters; and mycorrhizal colonization percentage were evaluated. Inoculation with the arbuscular mycorrhizal fungi Acaulospora colombiana, Dentiscutata heterogama and Rhizophagus clarus increases the phenological and physiological parameters of soybean and its yield when grown in soil contaminated with up to 480 mg kg-1 of copper applied to the soil. The Rhizophagus clarus isolate provides greater development and yield in soybean grown in soil contaminated with up to 480 mg kg-1 of copper applied to the soil, as compared with the other isolates.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/43526/30355,E-ISSN 1679-0359
2021,42,Vigor and alpha-amylase activity in common bean seeds under salt stress conditions,"Seeds with high vigor have greater capacity for hydrolysis and mobilization of stored reserves, which results in the formation of vigorous seedlings, and this behavior is observed under abiotic stress conditions. This study proposes to investigate the relationship of the enzyme alpha-amylase in lots of common-bean seeds with contrasting vigor, when subjected to the absence and presence of salt stress, aiming to identify the relationship of this enzyme with the vigor of the seed lot under these conditions. Seven common-bean cultivars were used. Physiological quality was determined by germination, vigor index and seedling length. The mobilization of reserves was evaluated under absence and presence of salt stress simulated with a NaCl solution with a concentration of 50 mmol L-1. The analyzed variables regarding reserve mobilization were reserve reduction, reserve reduction rate, seedling dry weight, reserve mobilization rate, starch, starch reduction rate and alpha-amylase activity. Results showed that the stress condition negatively affected all the evaluated variables; however, the cultivars classified as having greater vigor showed better physiological performance under stress. Salt stress in common-bean seeds affects seedling performance and reduces alpha-amylase activity during germination, and high-vigor seed lots exhibited higher enzyme activity in the no-stress condition.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/43656/30412,E-ISSN 1679-0359
2021,42,Energy balance and efficiency in crop rotation systems,"The production system model that has been adopted in most Brazilian regions, the soybean/second corn crop succession, has led to problems in water and soil conservation and favorable conditions for diseases, pests, and weeds in the agricultural system and, consequently, increasing its energy use. Crop rotation is an alternative to this production model, directly interfering with the problematic aspects of the crop succession system and, consequently, its energy balance. Therefore, this study aimed to identify the crop rotation system with the best energy balance and efficiency. The data on the quantity of inputs (seeds, fertilizers, pesticides, and fuel), labor, and grain yield used in the study were collected from a crop rotation experiment conducted at the experimental station of the Rural Development Institute of Paraná - IAPAR-EMATER, Londrina, PR, Brazil, from 2014 to 2020. The experimental design consisted of randomized blocks, with six treatments and four replications. The treatments consisted of T1 (second corn crop/soybean), T2 (white oat/soybean, triticale/corn, and wheat/soybean), T3 (rye + black oat/soybean, black oat + fodder radish/corn, and congo grass/soybean), T4 (canola/corn, crambe/corn; canola/soybean); T5 (buckwheat-fodder radish/corn, bean/soybean, and buckwheat-white oat/ soybean), and T6 (wheat/corn, canola/corn + congo grass, and bean/soybean). The different crop rotations and the traditional second corn crop/soybean system provided positive energy balance and efficiency, that is, they produced more energy than they consumed. The canola/corn, crambe/corn, and canola/soybean rotation systems had the highest energy balance and efficiency, with values of 866,442.27 MJ ha -1 and 10.27, respectively, mainly due to corn cultivation in the summer, which resulted in a higher energy return than the other grain-producing crops.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/43678/30394,E-ISSN 1679-0359
2021,42,Germination potential of Hymenaea courbaril L. in different maturation stages,"The production of quality forest seedlings in large quantities is essential for the restoration of environments that have been deforested and degraded. However, obtaining seeds with high vigor is a challenge for several tree species native to Brazil. The objective of this work was to verify the germination potential of jatobá-da-mata seeds at different stages of maturation, in order to favor the production of seedlings of this species in nurseries. The seeds were extracted from green and ripe fruits detached from the mother plant and ripe fruits collected from the ground. The germination percentage, average germination time, emergence speed index, average speed, relative frequency, leaf area of the seedling, and length of the aerial part and root were measured. The planting was carried out with mechanically scarified and intact seeds from each maturation group. The results indicated that non-scarified green seeds can be used for planting and seedling production, as they do not require pre-germination treatment and have a favorable germination percentage (79%). Fruit seeds harvested from the ground, on the other hand, needed a method to overcome integumentary dormancy, such as mechanical scarification, obtaining a germination rate of 85%. The seeds of ripe fruits harvested in the matrix showed greater vigor, with a higher percentage of germination (96 to 100%), a higher emergence speed index, shorter average germination time, and seedlings with greater leaf area and greater length of shoot.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/43751/30358,E-ISSN 1679-0359
2021,42,Multivariate analysis to characterize flaxseed production environments in Brazil,"The environments for flaxseed production and its soil-plant-atmosphere relationship, it is essential for distinguish and adapt them to the soil and crop management to obtain high sustainable yields and food diversification. Our goal was to characterize the main edaphoclimatic conditions for flaxseed production in South-Central, Brazil. The experiments were carried out in two locations representative of the edaphoclimatic conditions of South-Central, Brazil: 1 - Dourados, MS, with an Aw climate and LATOSSOLO VERMELHO Distroférrico (Haplustox) and 2 - Curitibanos, SC, with a Cfb climate and CAMBISSOLO HÚMICO (Haplumbrept), both cultivated with four flaxseed varieties: Aguará and Caburé from Argentina, UFSC (reddish-brown color) and Golden (golden-yellow color) from Brazil, grown under no-tillage system and few resources. Data from weather (air temperature and rainfall), plant growth, soil chemical and physical-hydric attributes, and post-harvest quality of flaxseed were monitored. The data were submitted to Pearson’s correlation matrix (P < 0.05) and multivariate principal component analysis (PCA). PCA segregated edaphoclimatic environments and varieties into four distinct groups. Each edaphoclimatic condition there was specific attributes discriminated by PCA ( > 78%). The lowest plant height ( < 0.85m), shorter cycle length (120-142 days) and high yield ( =1.13 Mg ha-1), especially golden-yellow flaxseed, were found in Dourados. The soil organic carbon and rainfall acted directly in Curitibanos, while charge balance and air temperature responded in Dourados influence flaxseed production. Soil physical and grain attributes were similar between the environments investigated. Both agricultural environments showed feasibility for flaxseed sustainable production in Brazil, it is important to emphasize that these results are pioneers, especially the edaphoclimatic conditions from Dourados.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/43882/30359,E-ISSN 1679-0359
2021,42,Development and production of maize as a function of biochar rates,"Poultry litter biochar has shown to be promising in crop development and production. On this basis, this study was developed to investigate the influence of increasing rates of poultry litter biochar on the growth and production of maize hybrid BRS 2022. The experiment was laid out in a completely randomized design with six biochar rates (0, 2.0, 4.0, 6.1, 8.1 and 10.1 t ha-1) and four replicates. Plots consisted of pots with a volume of 20 dm3, with one plant each. The following variables were evaluated at 83 days after sowing: plant height; first-ear insertion height; stem diameter; number of leaves; leaf area; internode length and number; stem, leaf and total dry weights; ear weight; grain weight per plant; 1000-grain weight; and ear length and diameter. Biochar application influenced plant height; first-ear insertion height; stem diameter; leaf area; internode length; and stem, leaf and total dry weights, having a positive impact in increasing in ear weight, grain weight per plant, 1000-grain weight and ear length and diameter. For the conditions in which the experiment was conducted, the recommended biochar rate to obtain the best results is 6.4 t ha-1.",https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/43939/30360,E-ISSN 1679-0359
